gene=RPP1	RPP1
unassigned_transcript_2728	RPP1
gene=PAN5	PAN5
unassigned_transcript_2729	PAN5
gene=SSZ1	SSZ1
unassigned_transcript_2730	SSZ1
gene=RRP3	RRP3
unassigned_transcript_2731	RRP3
gene=SSF1	SSF1
unassigned_transcript_2732	SSF1
gene=HTD2	HTD2
unassigned_transcript_2733	HTD2
gene=DYS1	DYS1
unassigned_transcript_2734	DYS1
gene=RRP4	RRP4
unassigned_transcript_2735	RRP4
gene=TRM5	TRM5
unassigned_transcript_2736	TRM5
gene=PCL5	PCL5
unassigned_transcript_2737	PCL5
gene=YNCH0009C	YNCH0009C
unassigned_transcript_2738	YNCH0009C
gene=ERG7	ERG7
unassigned_transcript_2739	ERG7
gene=NOP10	NOP10
unassigned_transcript_2740	NOP10
gene=OSH3	OSH3
unassigned_transcript_2741	OSH3
gene=QNS1	QNS1
unassigned_transcript_2742	QNS1
gene=PPE1	PPE1
unassigned_transcript_2743	PPE1
gene=PTC7	PTC7
unassigned_transcript_2744	PTC7
gene=NMD2	NMD2
unassigned_transcript_2745	NMD2
gene=YHR078W	YHR078W
unassigned_transcript_2746	YHR078W
gene=IRE1	IRE1
unassigned_transcript_2747	IRE1
gene=SAE3	SAE3
unassigned_transcript_2748	SAE3
gene=LAM4	LAM4
unassigned_transcript_2749	LAM4
gene=LRP1	LRP1
unassigned_transcript_2750	LRP1
gene=KSP1	KSP1
unassigned_transcript_2751	KSP1
gene=SAM35	SAM35
unassigned_transcript_2752	SAM35
gene=STE12	STE12
unassigned_transcript_2753	STE12
gene=IPI1	IPI1
unassigned_transcript_2754	IPI1
gene=NAM8	NAM8
unassigned_transcript_2755	NAM8
gene=YHR086W-A	YHR086W-A
unassigned_transcript_2756	YHR086W-A
gene=RTC3	RTC3
unassigned_transcript_2757	RTC3
gene=RPF1	RPF1
unassigned_transcript_2758	RPF1
gene=GAR1	GAR1
unassigned_transcript_2759	GAR1
gene=YNG2	YNG2
unassigned_transcript_2760	YNG2
gene=MSR1	MSR1
unassigned_transcript_2761	MSR1
gene=HXT4	HXT4
unassigned_transcript_2762	HXT4
gene=AHT1	AHT1
unassigned_transcript_2763	AHT1
gene=HXT1	HXT1
unassigned_transcript_2764	HXT1
gene=HXT5	HXT5
unassigned_transcript_2765	HXT5
gene=PAL2	PAL2
unassigned_transcript_2766	PAL2
gene=SFB3	SFB3
unassigned_transcript_2767	SFB3
gene=TRA1	TRA1
unassigned_transcript_2768	TRA1
gene=GEP4	GEP4
unassigned_transcript_2769	GEP4
gene=BIG1	BIG1
unassigned_transcript_2770	BIG1
gene=KIC1	KIC1
unassigned_transcript_2771	KIC1
gene=SBE22	SBE22
unassigned_transcript_2772	SBE22
gene=GRE3	GRE3
unassigned_transcript_2773	GRE3
gene=YPT35	YPT35
unassigned_transcript_2774	YPT35
gene=TRR2	TRR2
unassigned_transcript_2775	TRR2
gene=CDC12	CDC12
unassigned_transcript_2776	CDC12
gene=GGA2	GGA2
unassigned_transcript_2777	GGA2
gene=CTM1	CTM1
unassigned_transcript_2778	CTM1
gene=ERP5	ERP5
unassigned_transcript_2779	ERP5
gene=UBA4	UBA4
unassigned_transcript_2780	UBA4
gene=YHR112C	YHR112C
unassigned_transcript_2781	YHR112C
gene=APE4	APE4
unassigned_transcript_2782	APE4
gene=BZZ1	BZZ1
unassigned_transcript_2783	BZZ1
gene=DMA1	DMA1
unassigned_transcript_2784	DMA1
gene=COX23	COX23
unassigned_transcript_2785	COX23
gene=TOM71	TOM71
unassigned_transcript_2786	TOM71
gene=ORC6	ORC6
unassigned_transcript_2787	ORC6
gene=SET1	SET1
unassigned_transcript_2788	SET1
gene=MSH1	MSH1
unassigned_transcript_2789	MSH1
gene=LSM12	LSM12
unassigned_transcript_2790	LSM12
gene=CIA2	CIA2
unassigned_transcript_2791	CIA2
gene=EPT1	EPT1
unassigned_transcript_2792	EPT1
gene=NDT80	NDT80
unassigned_transcript_2793	NDT80
gene=YNCH0010C	YNCH0010C
unassigned_transcript_2794	YNCH0010C
gene=YHR125W	YHR125W
unassigned_transcript_2795	YHR125W
gene=ANS1	ANS1
unassigned_transcript_2796	ANS1
gene=YHS7	YHS7
unassigned_transcript_2797	YHS7
gene=FUR1	FUR1
unassigned_transcript_2798	FUR1
gene=ARP1	ARP1
unassigned_transcript_2799	ARP1
gene=YHR130C	YHR130C
unassigned_transcript_2800	YHR130C
gene=YHR131C	YHR131C
unassigned_transcript_2801	YHR131C
gene=ECM14	ECM14
unassigned_transcript_2802	ECM14
gene=IGO2	IGO2
unassigned_transcript_2803	IGO2
gene=NSG1	NSG1
unassigned_transcript_2804	NSG1
gene=WSS1	WSS1
unassigned_transcript_2805	WSS1
gene=YCK1	YCK1
unassigned_transcript_2806	YCK1
gene=SPL2	SPL2
unassigned_transcript_2807	SPL2
gene=ARO9	ARO9
unassigned_transcript_2808	ARO9
gene=YHR138C	YHR138C
unassigned_transcript_2809	YHR138C
gene=SPS100	SPS100
unassigned_transcript_2810	SPS100
gene=SUT169	SUT169
unassigned_transcript_2811	SUT169
gene=YHR139C-A	YHR139C-A
unassigned_transcript_2812	YHR139C-A
gene=YHR140W	YHR140W
unassigned_transcript_2813	YHR140W
gene=SNR32	SNR32
unassigned_transcript_2814	SNR32
gene=RPL42B	RPL42B
unassigned_transcript_2815	RPL42B
gene=CHS7	CHS7
unassigned_transcript_2816	CHS7
gene=DSE2	DSE2
unassigned_transcript_2817	DSE2
gene=RPC10	RPC10
unassigned_transcript_2818	RPC10
gene=DCD1	DCD1
unassigned_transcript_2819	DCD1
gene=SUF8	SUF8
unassigned_transcript_2820	SUF8
gene=CRP1	CRP1
unassigned_transcript_2821	CRP1
gene=MRPL6	MRPL6
unassigned_transcript_2822	MRPL6
gene=IMP3	IMP3
unassigned_transcript_2823	IMP3
gene=SKG6	SKG6
unassigned_transcript_2824	SKG6
gene=PEX28	PEX28
unassigned_transcript_2825	PEX28
gene=MTC6	MTC6
unassigned_transcript_2826	MTC6
gene=SPO12	SPO12
unassigned_transcript_2827	SPO12
gene=SPO16	SPO16
unassigned_transcript_2828	SPO16
gene=RTT107	RTT107
unassigned_transcript_2829	RTT107
gene=LAM1	LAM1
unassigned_transcript_2830	LAM1
gene=SNR71	SNR71
unassigned_transcript_2831	SNR71
gene=LIN1	LIN1
unassigned_transcript_2832	LIN1
gene=REC104	REC104
unassigned_transcript_2833	REC104
gene=KEL1	KEL1
unassigned_transcript_2834	KEL1
gene=TDA11	TDA11
unassigned_transcript_2835	TDA11
gene=PEX18	PEX18
unassigned_transcript_2836	PEX18
gene=YAP1801	YAP1801
unassigned_transcript_2837	YAP1801
gene=MPC2	MPC2
unassigned_transcript_2838	MPC2
gene=SOL3	SOL3
unassigned_transcript_2839	SOL3
gene=DNA2	DNA2
unassigned_transcript_2840	DNA2
gene=PRP8	PRP8
unassigned_transcript_2841	PRP8
gene=CDC23	CDC23
unassigned_transcript_2842	CDC23
gene=THP2	THP2
unassigned_transcript_2843	THP2
gene=MTG2	MTG2
unassigned_transcript_2844	MTG2
gene=DBP8	DBP8
unassigned_transcript_2845	DBP8
gene=NMD3	NMD3
unassigned_transcript_2846	NMD3
gene=ATG7	ATG7
unassigned_transcript_2847	ATG7
gene=SPC97	SPC97
unassigned_transcript_2848	SPC97
gene=YHR173C	YHR173C
unassigned_transcript_2849	YHR173C
gene=ENO2	ENO2
unassigned_transcript_2850	ENO2
gene=CTR2	CTR2
unassigned_transcript_2851	CTR2
gene=YHR175W-A	YHR175W-A
unassigned_transcript_2852	YHR175W-A
gene=FMO1	FMO1
unassigned_transcript_2853	FMO1
gene=ROF1	ROF1
unassigned_transcript_2854	ROF1
gene=STB5	STB5
unassigned_transcript_2855	STB5
gene=OYE2	OYE2
unassigned_transcript_2856	OYE2
